file_name,location,intended_functionality
.gitignore,OmniParser\omnitool\gradio,Minimal ignore file that excludes the tmp/ directory from version control within the Gradio-based OmniTool frontend.
__init__.py,OmniParser\omnitool\gradio,Empty package marker file with no imports or exports; serves only to make the gradio directory a Python package.
app.py,OmniParser\omnitool\gradio,"Canonical Gradio UI for OmniTool: model/provider/API-key settings, chat input, VNC iframe, and stop control; routes to AnthropicActor or VLMAgent via sampling_loop_sync."
app_new.py,OmniParser\omnitool\gradio,"Updated Gradio UI variant adding a file-upload panel, timestamped run folder, and a file-gallery viewer alongside the chat and VNC iframe; defaults to the orchestrated model."
app_streamlit.py,OmniParser\omnitool\gradio,"Streamlit port of the OmniTool UI: sidebar settings, chat history display, file upload/viewer toggle, VNC iframe, and a conversation download button; runs via streamlit run."
docs_robocopy.ps1,OmniParser\omnitool\gradio,"Syncs this folder's file_inventory.csv with its central copy under docs\inventory, in either direction, treating robocopy exit codes 0 through 7 as success."
file_inventory.csv,OmniParser\omnitool\gradio,This inventory: the audited list of every file in this folder with a one line statement of its intended functionality.
loop.py,OmniParser\omnitool\gradio,"Synchronous agentic sampling loop: instantiates the correct actor (AnthropicActor, VLMAgent, or VLMOrchestratedAgent) and AnthropicExecutor, then drives the parse-act-execute cycle until the task completes."
sync.bat,OmniParser\omnitool\gradio,"Launcher that runs docs_robocopy.ps1 from any working directory, forwarding switches such as -Pull and -WhatIf."
anthropic_agent.py,OmniParser\omnitool\gradio\agent,"AnthropicActor class: calls the Anthropic/Bedrock/Vertex beta messages API with the computer-use tool, filters old screenshots, tracks token usage and USD cost per call."
vlm_agent.py,OmniParser\omnitool\gradio\agent,VLMAgent: single-step agent that sends the current OmniParser-parsed screen to GPT-4o/o1/o3-mini/DeepSeek-R1/Qwen2.5VL and returns one structured JSON action per call with no task-level orchestration.
vlm_agent_with_orchestrator.py,OmniParser\omnitool\gradio\agent,"VLMOrchestratedAgent: extends VLMAgent with a two-phase orchestrator that initialises a task plan on step 0, then queries an LLM ledger each step to check completion, detect loops, and produce the next sub-instruction."
groqclient.py,OmniParser\omnitool\gradio\agent\llm_utils,"Sends text-only chat completions to Groq (deepseek-r1-distill-llama-70b), strips image paths from messages, and extracts the final answer from inside think/output XML tags."
oaiclient.py,OmniParser\omnitool\gradio\agent\llm_utils,"Sends interleaved text-and-image chat requests to any OpenAI-compatible endpoint (OpenAI or Dashscope), encoding local image files as base64; handles o1/o3-mini reasoning_effort mode."
omniparserclient.py,OmniParser\omnitool\gradio\agent\llm_utils,"OmniParserClient: captures a screenshot, POSTs it to the OmniParser /parse/ server, saves the SOM-annotated image locally, and returns a reformatted dict with screen_info ID/label strings."
utils.py,OmniParser\omnitool\gradio\agent\llm_utils,"Provides two shared helpers: is_image_path checks whether a string ends with a known image extension, and encode_image base64-encodes a file from disk."
anthropic_executor.py,OmniParser\omnitool\gradio\executor,"AnthropicExecutor: iterates over assistant response content blocks, dispatches tool_use blocks to ComputerTool via asyncio.run, packages results as BetaToolResultBlockParam, and yields display messages."
__init__.py,OmniParser\omnitool\gradio\tools,"Exports ComputerTool, ToolCollection, ToolResult, and get_screenshot from their respective submodules via __ALL__."
base.py,OmniParser\omnitool\gradio\tools,Defines BaseAnthropicTool abstract base class and the frozen ToolResult dataclass (output/error/base64_image/system fields) plus ToolFailure and ToolError.
collection.py,OmniParser\omnitool\gradio\tools,"ToolCollection container: holds one or more BaseAnthropicTool instances, serialises them to Anthropic API params, and dispatches async run calls by tool name with error handling."
computer.py,OmniParser\omnitool\gradio\tools,"ComputerTool: implements all mouse/keyboard/screenshot actions (click, drag, type, scroll, key, wait) by POSTing pyautogui commands to a localhost:5000 executor HTTP service on a remote Windows VM."
screen_capture.py,OmniParser\omnitool\gradio\tools,"get_screenshot function: fetches a PNG screenshot from the localhost:5000 /screenshot endpoint, optionally resizes it, saves it with a UUID filename, and returns the PIL Image and path."
